id,Number,Value,Part_of_Speech,Gloss,Notes,Changed
636,636,gibu,n3,"dust; sand"," 
",2010-01-19
637,637,"gič’o",n,piece,"Not in the Dictionary! (Arsen: ""penjok"", translation: ""kuski"" (pl.)); see Razhbadin.159!
",2014-06-25
638,638,"giħił",v,be.lacking," 
",2014-01-19
639,639,"giħono",adj,cruel,"Dict. didn't have this translation (Russian: zhestokij).",2014-06-25
640,640,giri,n4,pole," 
",2009-10-01
641,641,-go,suf,COND,"= conditional ('uslovnoe znachenie') according to Arsen; appears on ""dicego"" (how.much-COND) and ""shebigo"" (what/who-COND)???
 ~ whoever, whatever, etc.; ""howzhigo-..."" (now-COND?) but also
 once on a compound adverb: ""hhalalgotow"" (permittedly? in
 Patience.054)
",2014-06-25
642,642,"godek’an",n4,village.square,"Place of gathering in a village; Dict.: ""gudik'an""",2014-05-20
643,643,goga,n2,meadow," 
",2009-02-21
644,644,"goƛ’i",v,"call; invite","invite to = -CONT.LAT",2013-08-04
645,645,-gon,suf,CNTR,"= contrastively topicalized (""also""?, ""the other"", ""however"", ""once again"" ""[wh...]-ever""?); in phrases with postpositions it follows the
 inflected noun, not the postposition (see Uneyzat.038)!
",2014-06-25
646,646,gondu,n2,big.hole,"Dict.: ""gwandi""; Alt.: ""qondu""; doesn't have OBL form in ""gonda-""",2014-06-25
647,647,Goqi,n1,Goqi,"Name? ""Goqu"" = idiot",2007-02-26
648,648,"got’i",n3,haystack,"Dict. doesn't have OBL form in ""got'e-"" or ""got'-"" but they exist.",2014-06-25
649,649,"guči-geči",n4,trampling,"Dict. doesn't have OBL/ERG form in ""guchi-gechimo-""",2014-06-25
650,650,gugi,v,escape,"'from' = CONT.ABL",2013-12-08
651,651,gugu,n2,back,"Dict. doesn't have OBL form in ""gugyo-"" (i.S.v. Rücken)",2014-06-25
652,652,"guħ",n3,hill," 
",2009-07-03
653,653,gulu,n3,horse," 
",2012-08-28
654,654,"guluči",adj,male," 
",2009-05-08
655,655,"gup’",n3,hill," 
",2013-09-09
656,656,gur,v,howl," 
",2007-03-08
657,657,"guraƛi",v,howl,"Not in the dictionary!",2007-04-21
658,658,"gurħizi",comp,pity,"'to be pity for X' = ""X-SUPER.ESS gurhhizi -oqa""",2014-06-25
659,659,gurow,post,except,"Dict.: ""gurew""",2006-10-14
660,660,guru,n3,crying," 
",2009-04-17
661,661,"gušiw",adj,thin,"Dict.: ""gushyu""",2014-02-10
662,662,gutan,n2,plow," 
",2009-02-08
663,663,"gut’",n2,"smoke; dust"," 
",2007-12-06
664,664,"gut’-muši",n3,"spell; smoke","Might stand for ""ghost"" or ""spirit""...",2013-08-04
665,665,guz,n3,rock,"Dict. has OBL form in ""guzyo-"", which is not used in Ten.006",2014-06-25
666,666,"ɣˤʷačni",n,chewing,"Not in the Dictionary! sound of chewing (maybe just ""gh`wach""?); Arsen's translation in Russian is ""gwachni"" ;)
",2014-06-25
667,667,"ɣˤʷačuli",n3,he-goat,"Not in the Dictionary!",2009-08-17
668,668,"ɣˤʷadi",n3,crow," 
",2014-01-05
669,669,"ɣˤaɣˤ",v,endure,"Dict.: ""gh`agha""",2010-02-14
670,670,"ɣˤaɣˤu",comp,be.happy,"used with ""-izi-"", which is intransitive and agrees with the S argument",2014-06-25
671,671,"ɣˤʷak’u",n4,hook,"Dict.: class II",2009-08-24
672,672,"ɣalat’",n3,mistake," 
",2013-12-02
673,673,"ɣalbac’",n3,lion,"Dict. has OBL in ""ghalbac'yo-"", which is not used in Prince_and_Princess.072
",2014-06-25
674,674,"ɣˤalu",n3,saddle,"Dict. hasn't OBL in ""gh`atlhumo-""",2013-08-04
675,675,"ɣˤalu-muži",n4,saddle,"Dict.: 'horse saddle in a set' (guzhevoje sedlo v komplekte)",2014-06-25
676,676,"ɣamas",n2,box,"Not in the Dictionary! (Arsen: ""sunduk"")",2014-05-20
677,677,"ɣˤanabi",n2,woman," 
",2006-10-27
678,678,"ɣˤana-xediw",n1pl,married.couple,"Dict. doesn't have this OBL form, I guess...",2014-05-20
679,679,"ɣˤana-xediwłi",n3,"partnership; marriage"," 
",2008-07-30
680,680,"ɣanq’izi",comp,"strangle; drown"," 
",2010-05-03
681,681,"ɣarabaš","n1; n2",servant," 
",2009-03-30
682,682,"ɣˤay",n2,milk," 
",2006-10-24
683,683,"ɣˤʷay",n3,dog,"Form without pharyngealization occurs in Atid.027",2014-06-25
684,684,"ɣedu",n4,shade,"looks like class III in Wise.051 ff.",2013-08-04
685,685,"ɣer",n2,pile," 
",2009-04-28
686,686,"ɣez",n4,dirt,"Dict.: gh`ez",2014-01-24
687,687,"ɣiɣi",adv,slowly,"also in the sense of ""carefully"" (without force)",2014-05-20
688,688,"ɣiɣi-ičin",adv,slowly," 
",2007-07-05
689,689,"ɣˤila",n4,disturbance,"Not in the Dictionary! Translated as ""bespokoit'""; is this a noun or a verb? The ""-a"" wasn't glossed as -INF.
",2014-06-25
690,690,"ɣˤilya",n3,stick,"Not in the Dictionary! (Arsen: palka)",2014-02-11
691,691,"ɣir",n3,sieve," 
",2009-08-20
692,692,"ɣira",n3,wish," 
",2007-02-26
693,693,"ɣirƛi",n3,sift," 
",2008-08-16
694,694,"ɣˤit’a",n4,goat.wool," 
",2009-11-03
695,695,"ɣod",n2,lime.tree," 
",2009-08-25
696,696,"ɣoɣorik’",v,make.red-hot,"Dict.: ""gh`ogh`orik'a""",2009-08-21
697,697,"ɣoɣorił",v,become.red-hot,"Dict.: ""gh`ogh`orilha""",2009-08-20
698,698,"ɣoɣoru",adj,hot,"Dict.: ""gh`ogh`oru""",2009-08-29
699,699,"ɣomu",n2,truss,"Dict. doesn't have OBL in -a-, but the CONT.ESS form is ""ghomalh"".
",2014-06-25
700,700,"ɣop’damu",adj,greasy," 
",2009-09-28
701,701,"ɣoq’ˤo",pron,other,"Dict.: ""hh`oq'oni""",2010-03-08
702,702,"-ɣor",nsuf,IN.ALL," 
",2006-10-13
703,703,"ɣowlo",adv,there,"Not in the dictionary!",2006-12-13
704,704,"ɣˤuč’",n4,"splinter; stick","Dictionary doesn't have translation 'splinter' (Arsen: shchepka). Can also be used for a blade of grass (bixis gh`uch').
",2014-06-25
705,705,"ɣude",adv,tomorrow," 
",2008-08-12
706,706,"ɣudes",adv,daily," 
",2006-10-24
707,707,"ɣudi",n4,day,"""bring the day upon so."" (X-SUPER.ESS ghudi rayr-) = 'to torture someone'; ""ghudtlh'ay ghudtlh'or"" = 'day in and day out'
",2014-06-25
708,708,"ɣudod",adv,at.midnight," 
",2006-10-24
709,709,"ɣuɣay",n,noise,"Avar Dict.: ""ghughay"" = thunder, grumbling, noise (masdar!)",2014-06-25
710,710,"ɣuɣudi",n4,big.chain,"Dict. doesn't have OBL form(?) in ""ghughudo-"", or is that the ABS form as well?
",2014-06-25
711,711,"ɣˤuɣˤuru",adj,muddy,"Dict.: ""gh`ogh`oru""",2010-01-24
712,712,"ɣˤul",n2,stone," 
",2010-07-19
713,713,"ɣun",n4,tree," 
",2010-04-28
714,714,"ɣun",n2,hind.leg,"Dict. doesn't have OBL in ""ghunya/o-""",2013-08-04
715,715,"ɣun-bix",n,plants,"Not in the Dictionary! (Arsen: derevo-trava)",2014-05-20
716,716,"ɣˤuni",n3,hornless.goat," 
",2007-03-27
717,717,"ɣuro",n4,cows,"collective noun",2006-10-13
718,718,"ɣuro-posu",n4,cattle,"Not in the Dictionary! (probably class IV)",2014-05-20
719,719,"ɣˤuruš",n2,ruble,"Form ""3urush"" might be a typo.",2013-08-04
720,720,"ɣutan",n2,winter.pasture,"Dict. has OBL in -yo/ya- but in the text it occurs without OBL marker in Rabbit.040 and with OBL marker in Rabbit.041!
",2014-06-25
721,721,"ɣˤutku",n4,"house; room"," 
",2009-09-10
722,722,"ɣut’",v,pass.away," 
",2009-09-30
723,723,ha,excl,well," 
",2007-07-05
724,724,habihan,n1,miller," 
",2009-12-22
725,725,"habsaʕat",adv,now,"Not in the Dictionary! (Arsen: ""sejchas"")",2014-05-20
726,726,hadambi,n1pl,people,"Turkic loan (adam)?",2006-11-20
727,727,hag,adv,amazingly,"""hag -oq-"" = be(come) amazed",2013-08-04
728,728,"haganił",v,"be.surprised; be.amazed"," 
",2012-08-06
729,729,halag,comp,excite," 
",2013-09-27
730,730,halizi,comp,excite,"Not in the Dictionary!",2009-08-31
731,731,"halmaɣ","n1; n2; n3",friend," 
",2010-04-23
732,732,"halmaɣłi",n4,friendship,"friendship between X(pl) = ""X-CONT.ESS-ATTR halmaghlhi""",2014-06-25
733,733,haqu,n2,mouth,"Dict. doesn't have alternative form ""hoqo-"" (perhaps this is just an oblique form)
",2014-06-25
734,734,"haqu-mˤali",n4,face," 
",2010-04-18
735,735,"haq’u",n3,family,"Dict.: ""haq'`u""",2009-03-16
736,736,"haraƛ’",n3,"voice; noise"," 
",2013-10-26
737,737,hardizi,comp,request,"Dict.: ""harizi""",2010-05-31
738,738,hari,n3,request,"Dict. doesn't have OBL in ""harimo-""",2013-08-04
739,739,harihun,adv,slowly,"Not in the Dictionary!",2009-02-17
740,740,harizi,comp,request,"i.S.v. ""bitten"", nicht von ""fragen""; sometimes used with -oq-, sometimes with -odi-; what's the difference? Person asked is marked
 with -POSS.ESS
",2014-06-25
741,741,hawa,n4,air,"""hawatlh' k'otlhi-"" = to fly",2013-08-04
742,742,"hawšinaw",adj,"so.much; so.many","Not in the dictionary!",2008-11-09
743,743,haxar,excl,now,"in the sense of: ""Now, look at that!"" (it's a ""particle"" in the dictionary)",2014-06-25
744,744,hay,excl,so.then,"part of ""hay i wele"" ('now then')",2013-08-04
745,745,"hay i wele",excl,now.then,"Not in the Dictionary! Part of ""hay i wele"" ('now then')",2014-06-25
746,746,he,interj,hey," 
",2014-01-19
747,747,"hec’oq’",n,hammer,"Not in the dictionary! No translation by Arsen either. It probably means ""hammer"" or ""sledgehammer"".
",2014-06-25
748,748,"hečker",adv,upright,"used with ""-ichi-"" (stand/get/be upright)",2014-05-20
749,749,"hečk’er",adv,upright,"Dict. has ""hechker"", ""echker"" and ""hech'k'er"" (Asakh), but not this form... perhaps a mistake?
",2014-06-25
750,750,hedizi,comp,swear," 
",2010-05-03
751,751,"hek’u",n3,potatoe,"Dictionary has no distinct oblique form.",2014-05-20
752,752,hemece,adv,"as.many; such","Might mean ""such"" before an adjective (see Eagle.041)?",2014-06-25
753,753,hemediw,adj,such.a,"should the part of speech be ""pron"" instead?",2014-05-20
754,754,hemedur,adv,so,"usually means ""likewise""",2013-08-04
755,755,"hemeł",pron,DEM4.IISG.OBL,"Not in the Dictionary! Oblique form is the same, I think... used with ""hemelh qulh"" ('on that day'); ""hemelhtlh'o"" = then
",2014-06-25
756,756,"hemeła","adv; pron","then; DEM4.IISG.OBL","Dict.: ""hemelh"" = then (-a?)",2013-08-04
757,757,"hemełaqu",n4,that.day,"Not in the dictionary!",2008-03-18
758,758,hemesi,pron,DEM4.ISG.OBL,"Not in the Dictionary!",2009-08-26
759,759,"heneš",n3,apple," 
",2008-10-14
760,760,heq,v,sit.down," 
",2014-01-29
761,761,heresi,n4,lie," 
",2008-04-28
762,762,heresi,adj,false,"Not in the Dictionary! (only as noun)",2013-08-04
763,763,heresiyaw,adj,false," 
",2013-09-18
764,764,hersiqan,n1,liar," 
",2008-04-30
765,765,hi,interj,take.IMP,"Not in the Dictionary!",2009-09-12
766,766,hibo,n3,stick,"Dictionary doesn't list the OBL stem.",2014-06-11
767,767,"hič’č’a",adv,"very; the.most"," 
",2006-12-13
768,768,"hiɣu",n3,hayloft," 
",2008-09-16
769,769,"hik’ey",adv,"long.ago; later"," 
",2009-02-21
770,770,hil,n3,"bean; arrow; bullet","Dict. doesn't have OBL form in ""hilmo-""",2014-05-20
771,771,"hiƛir",v,place.comfortably,"""rok'u hitlhir-"" = become calmed down",2014-05-20
772,772,"hiƛu",n2,comb,"Dict. doesn't have OBL form in ""hitlhur-""",2014-05-20
773,773,"hiƛu-ok’o",n4,horseshoe," 
",2010-08-07
774,774,"hiƛ’ar",n3,worry," 
",2007-03-13
775,775,"hiq’i-baq’i",n4,greeting,"Not in the Dictionary!",2009-12-18
776,776,his,n4,spring.wool,"Dict. doesn't have OBL in ""hiso-""",2013-08-04
777,777,"his-kot’u",n,wool,"Not in the Dictionary! (Arsen: ""sherst'-boroda"", translation: ""sherst'""); might it be n2 (as ""his"" is IV and ""kot'u"" is II)?
",2014-06-25
778,778,his-mus,n3,wool,"Not in the Dictionary! (Arsen: ""sherst'-volos"", translation: ""sherst'"")",2014-06-25
779,779,hisono,n4,trough," 
",2010-07-03
780,780,hobo,pron,this," 
",2007-03-26
781,781,hoboda,pron,that," 
",2009-01-14
782,782,hobolo,adv,there,"Not in the Dictionary! (Arsen/translation: ""tam"")",2014-05-20
783,783,hoboy,adv,now,"Not in the dictionary!",2009-02-21
784,784,hohomaw,adj,fresh,"Not in the Dictionary! (Arsen: proxladnyj), means fresh, cool, chilly as in ventilation or air...
",2014-06-25
785,785,"hohomłi",n4,chilliness,"Not in the Dictionary! (Arsen: proxlada)",2014-05-20
786,786,hoko,n4,carriage,"Dict. doesn't have alternate form; seems to be class III according to Wise.057
",2014-06-25
787,787,"hokožek’u",n1,coachman,"Not in the dictionary!",2008-03-18
788,788,"hok’",v,pull.out,"Not in the Dictionary! (Arsen: ""razobrath"")",2014-05-20
789,789,"hoq’ˤo",adj,other,"Dict.: ""hhoq'oni""",2008-05-20
790,790,horo,v,"come.IMPR; go.IMPR"," 
",2007-01-08
791,791,howda,pron,DEM3.SG," 
",2009-10-04
792,792,howlay,adv,"from.there; then"," 
",2008-08-25
793,793,howlo,adv,there,"""howlor(tow)"" = immediately",2013-09-18
794,794,howlozay,adv,from.there,"Not in the Dictionary!",2009-08-21
795,795,"howła",pron,DEM3.IISG.OBL,"she; it; this",2009-07-28
796,796,howsi,pron,that,"Not in the Dictionary!",2007-04-23
797,797,"howt’a",pron,there,"Not in the dictionary!",2006-11-13
798,798,"howt’ay",adv,from.here,"Not in the dictionary!",2014-02-01
799,799,"howt’o",adv,here,"Not in the dictionary!",2007-07-02
800,800,howza,pron,these.OBL," 
",2009-05-08
801,801,howziri,pron,DEM3.PL,"is IPL according to demonstrative chart; but in Smith.029 refers to class III objects
",2014-06-25
802,802,"howža",pron,DEM4.SG,that,2014-02-16
803,803,"howžeda",pron,DEM4.PL.OBL," 
",2013-11-17
804,804,"howžedu",pron,DEM4.PL," 
",2013-11-17
805,805,"howži",adv,now," 
",2009-01-25
806,806,hoz-hozu,adv,seperately,"Not in the Dictionary! (only ""hozu(r)"" with the same meaning)",2014-06-25
807,807,hozu,adv,seperatedly,"""to seperate oneself from X"" = ""X-APUD.ABL hozu-SUPER.LAT k'otlhi-"" (to run from X to seperation)
",2014-06-25
808,808,hozur,adv,separately," 
",2008-08-06
809,809,huday,adj,next,"Dict. says it's an adverb",2010-06-01
810,810,hudaygon,adv,the.next.day,"Not in the Dictionary!",2008-08-20
811,811,"hudayƛ’aygon",adv,on.the.next.day,"Lit.: ""huday""(?) + SUP.ABL + CNTR  what's the difference to the form without ""-tlh'ay""?
",2014-06-25
812,812,hudayziko,adv,the.next.day," 
",2007-02-26
813,813,"hudäyziko",adv,day.after.tomorrow," 
",2007-03-26
814,814,hudod,adv,at.night,"Not in the Dictionary!",2009-06-13
815,815,hudu,excl,"yes; so; then; though"," 
",2010-02-20
816,816,hudul,n1,friend," 
",2010-01-25
817,817,hudulaw,adj,dear,"Not in the Dictionary! (Arsen/translation: ""dorogoj"")",2014-06-25
818,818,"hudul-halmaɣłi",n4,friendship," 
",2010-04-27
819,819,hudun,adv,nevertheless,"Not in the Dictionary!",2008-08-22
820,820,huduno,adv,nevertheless,"Not in the dictionary!",2012-08-13
821,821,huinaw,adj,"sweet; delicious","Not in the dictionary!",2008-08-26
822,822,"huinłi",n4,cordiality,"Not in the Dictionary! (Arsen: ""simpatiya"", translation: ""teplota"")",2014-06-25
823,823,hul,v,miss,"= ""vermissen""",2008-06-10
824,824,"Hulä",n,Georgia,"There is probably no absolutive form of this word",2014-06-25
825,825,huli,v,miss,"Dt.: ""vermissen"" (subject is ABS, object is SUPER.ESS)",2014-06-25
826,826,hulo,n4,boredom,"Not in the Dictionary!",2008-10-22
827,827,humer,n3,"face; page","Dict. only gives ""page"" as translation.",2013-08-04
828,828,hunar,n3,talent,"""a talent / an ability to"" = ""V-MSD-AD.ESS hunar"" (V-anix hunar)",2014-06-25
829,829,huni,n4,way,"""hunix"" can mean ""in a row"" (as in ""three times in a row"" = lh`oran hunix)
",2014-06-25
830,830,"hunƛ’i",n,jerk,"Not in the Dictionary! (Arsen: ryvok); not sure what this means... perhaps lust or greed?
",2014-06-25
831,831,"hunƛ’izi",n,trying,"Not in the Dictionary!",2009-01-10
832,832,"hut’",n4,"jaws; lip"," 
",2008-08-19
833,833,"hut’-mˤali",n4,front.part.of.the.face,"probably just means 'face'",2014-01-29
834,834,"ħadur",comp,prepare,"'prepare for' = ""X-qor hhadur -oq-"" (POSS.LAT)",2014-06-25
835,835,"ħaduraw",adj,prepared," 
",2008-06-02
836,836,"ħadurłi",n4,preparation," 
",2009-06-30
837,837,"ħadurłi",n4,preparation,"preparation for = -CONT.LAT",2013-08-04
838,838,"ħaħ",v,"scratch; gnaw","Dict.: ""hhahhi""; ""hhahh"" = gnaw, nibble",2014-05-20
839,839,"ħaħa",n,larder,"Dict.: ""mok. hhihha""",2006-09-21
840,840,"ħak’o",n3,khinkali,"Dict. doesn't have any OBL form with -mo- or -m- (the full form was ""hhak'omtlherce"" in the Text!)
",2014-06-25
841,841,"ħal",n3,"strength; condition; trouble; help","""hhal-IN.LAT (hhalar) [-otlhix-]"" = 'come to help', ""-igza hhalalh"" = 'pretty much' (adv., agrees with Abs.); ""hhalalh"" often means
 'hardly'! (see Father_and_sons.045)
",2014-06-25
842,842,"ħalal",comp,be.permitted,"Dict. has this as adverb; it seems to be a compound verb part, though... ""hhalal boda"" = to permit sth. (i.S.v. jmd. etw. überlassen)
",2014-06-25
843,843,"ħalalaw",adj,permitted," 
",2010-07-19
844,844,"ħalał",adv,with.difficulties," 
",2006-10-11
845,845,"ħalaq’",adj,meager," 
",2006-09-21
846,846,"ħalaq’aw",adj,thin," 
",2009-05-18
847,847,"ħalica",adv,by.wonder?,"Not in the Dictionary! Not in the original glossed text. No concrete idea for the gloss (hhal + -ca?)... might be ""chudom"" in Russian,
 according to Mountain-Hero.074
",2014-06-25
848,848,"ħalikataw",adj,mean,"i.S.v. ""gemein""",2006-10-25
849,849,"ħalik’",v,water,"Dt.: (Tiere) ""tränken"", ""zu trinken geben""",2014-05-20
850,850,"ħalił",v,get.drunk," 
",2008-04-09
851,851,"ħali-malica",adv,"with.difficulty; hardly","Not in the Dictionary!",2009-01-10
852,852,"ħalkaraw",adj,even,"Not in the Dictionary! (Arsen: ""rovnyj"") [flach]",2014-05-20
853,853,"ħalkiłi",n4,relaxation,"Not in the Dictionary! (only ""hhalki""); Arsen: ""otdyx-ABSTR""",2014-06-25
854,854,"ħalkizi",comp,calm.down,"Not in the Dictionary!",2009-01-24
855,855,"ħalk’ołi",n4,might,"Not in the Dictionary! (Arsen: mogushchestvo)",2014-05-20
856,856,"ħal-ruħ",n3,strength,"Not in the dictionary! / see also ""ruhh-hhal""",2014-05-20
857,857,"ħalt’i",n3,work,"Dictionary doesn't have a distinct oblique form.",2014-05-20
858,858,"ħalt’uqan",n1,worker," 
",2007-03-13
859,859,"ħaƛi",v,"push; organize"," 
",2009-12-14
860,860,"ħaƛir",v,put," 
",2009-02-17
861,861,"ħaƛu",v,drink," 
",2007-06-04
862,862,"ħaƛu-ac’",v,eat.and.drink,"Not in the Dictionary!",2013-09-14
863,863,"ħaƛu-iš",v,eat.and.drink,"Not in the Dictionary!",2013-09-14
864,864,"ħaƛ’ala",adv,hardly,"Not in the Dictionary! (or as ""hhal""?)",2013-08-04
865,865,"ħam",n3,chest,"i.S.v. Brust",2006-12-19
866,866,"ħamim",n3,hot.springs,"might be a hot thermal facility, like a Turkish sauna or something...",2014-06-25
867,867,"ħamori",n3,cough," 
",2009-08-29
868,868,"ħamorok’u",n4,breast," 
",2009-08-29
869,869,"ħaq’",n3,sin,"(-ma, -mos, -bi); beˤže ħaq’ - big sin; ħaq’moł ik’a - to be sinful",2014-06-25
870,870,"ħaram",n3,prohibition," 
",2007-06-15
871,871,"ħaramaw",adj,prohibited," 
",2010-07-19
872,872,"ħarzayaw",adj,abundant," 
",2009-02-18
873,873,"ħawla",excl,change[Arab.],"""la hhawla wala q'uwata illa billahi"" = 'there is no change and no power except by Allah'
",2014-06-25
874,874,"ħayran",comp,be.astonished," 
",2010-05-25
875,875,"ħaywan",n3,animal," 
",2010-07-03
876,876,"ħaž",n3,hajj,"Muslim pilgrimage",2008-09-18
877,877,"ħažałi",n4,need," 
",2010-06-11
878,878,"ħažat","n4; comp","necessity; necessary"," 
",2010-01-21
879,879,"ħažataw",adj,necessary," 
",2008-10-13
880,880,"ħažataw-q’ʷarʕaraw",adj,necessary,"Not in the Dictionary!",2010-01-19
881,881,"ħaži",v,exchange," 
",2008-06-20
882,882,"ħeren",adj,polite,"Not in the Dictionary! (Arsen: ""nuzhno"", translation: ""vezhlivo""); because of the construction in Ohoyo.014 I think it's an adjective
",2014-06-25
883,883,"ħež",n3,hajj,"Dict.: ""hhazh"" (Muslim pilgrimage)",2013-08-04
884,884,"ħibaƛ’",adv,running," 
",2014-03-11
885,885,"ħikmałi",n4,astonishment," 
",2006-11-20
886,886,"ħikmat",n,wonder,"Dict. has this only as a comp with -oq- and -odi-.",2014-06-25
887,887,"ħilla",n3,trickery," 
",2008-07-31
888,888,"ħilla-rek’",n3,deception,"Dictionary doesn't have the oblique form in -mo-.",2014-06-25
889,889,"ħiƛ’oqu",n4,handkerchief,"Dict. has no oblique form, or is it oblique? Arsen glosses: ""hhitlh'oqa-x"" as 'nosovik-AD.ESS'.
",2014-06-25
890,890,"ħimu",n2,tombstone," 
",2007-05-29
891,891,"ħinq’i",n,danger,"Not in the Dictionary!",2009-07-31
892,892,"ħiro",n4,shoulder," 
",2010-04-27
893,893,"ħiši",v,lock," 
",2010-05-03
894,894,"ħišił",v,"be.over; be.closed"," 
",2009-12-13
895,895,"ħit’u",n3,pan,"Dict. doesn't have OBL in ""hhit'ure-""!",2013-08-04
896,896,"ħo",n2,oven," 
",2009-12-19
897,897,"ħobo",n3,leg,"Not in the dictionary!",2008-10-05
898,898,"ħoli",n3,mat,"Dict. doesn't have OBL in hholimo-; and also doesn't have Arsen's translation ""palas"".
",2014-06-25
899,899,"ħomorok’u",n4,breast,"Dict.: ""hhamorok'u""",2009-08-21
900,900,"ħon",n2,mountain," 
",2007-01-10
901,901,"ħon-mˤali",n2,pasture," 
",2012-08-06
902,902,"ħos",n3,stick,"Not in the Dictionary! (Arsen: 'palka')",2013-08-04
903,903,"ħoša",n4,hides," 
",2009-09-02
904,904,"ħoši",n4,hide,"Looks like class III in Ring.028.",2013-08-04
905,905,"ħoʕƛi",v,shout,"about donkeys",2014-01-05
906,906,"ħoʕni",n4,shout,"Not in the Dictionary! (Arsen: rev-MASD)",2014-05-20
907,907,"ħoʕoƛi",v,shout,"Not in the Dictionary! Only ""hho3tlhi-"" is (same meaning).",2014-06-25
908,908,"ħuč’i",v,burn,(transitive),2009-08-21
909,909,"ħuħ",n4,cheek," 
",2010-04-18
910,910,"ħuħ-reƛ’a",n,face.and.hands,"Not in the Dictionary!",2009-08-21
911,911,"ħukmat",n3,country," 
",2009-04-30
912,912,"ħukmu",n3,decision," 
",2007-12-04
913,913,"ħuk’",n4,scoop," 
",2009-09-30
914,914,"ħuli",n3,feather," 
",2009-05-12
915,915,"ħuł",adv,yesterday," 
",2007-04-09
916,916,"ħumukuli",n3,camel,"Dict.: ""3umukuli""",2012-08-06
917,917,"ħur",n,dust,"Not in the dictionary!",2008-07-04
918,918,"ħurmat",n3,respect,"""X-GEN1/LAT hhurmat bodi-"" = to respect so.",2014-05-20
919,919,"ħuru",n3,basin,"Dict.: ""hhuri""",2010-07-09
920,920,"ħuržen",n,bag,"Not in the Dictionary! (Arsen: ""sumka"")",2014-05-20
921,921,ici,v,"tie; follow"," 
",2007-03-05
922,922,"ici-uk’i",v,tie,"Not in the Dictionary! (the ""-i"" at the end is a mere guess; Arsen: ""privjazat'"")
",2014-06-25
923,923,ico,n4,shelf," 
",2009-04-06
924,924,"ic’",v,"hug; fill","substance of filling = GEN1; vessel = dir.obj. (ABS); when hugging, needs ""alhni"" or ""mech'o"" as a dir.obj!
",2014-06-25
925,925,"ic’r",v,fill," 
",2006-12-01
926,926,"iča-q’ˤʷaƛa",n,unrest,"Not in the Dictionary! (Arsen: besspokojstvo); Written without pharyngealization in the first version and without hyphen in the new
 version; maybe this is two verbs with infinitive endings? Perhaps
 means the opposite, see Mountain-Hero.016!
",2014-06-25
927,927,"iči",v,"be; sit; live; wait; cease; remain","wait for = -AD.LAT or -(MSD)-POSS.LAT ezun [look-PFV.CVB]; might be a verb of speech as well (see Handkerchief.029); with the
 subject in the GEN1, it can mean 'to get well' (see Arabuzan.020)
",2014-06-25
928,928,"iči",v,stop.IMP," 
",2014-06-25
929,929,"ičiqeqeł",v,pause,"Dict.: ""bichiqeqa""",2010-01-24
930,930,"ičir",v,"stop; restrain; hand.over"," 
",2013-09-28
931,931,"ič’a",adv,most," 
",2009-08-29
932,932,"ič’č’a",adv,"very; the.most"," 
",2009-01-09
933,933,"ič’i",v,dig," 
",2014-04-07
934,934,"ič’i-kuč’i",v,dig,"Not in the Dictionary! (only ""ich'i"" = to dig)",2014-05-20
935,935,idu,adv,"home; room","Is this an adverb or a noun?",2013-08-04
936,936,ig,"adj; adv","much; many; very; well; good"," 
",2012-08-13
937,937,"igeł",v,improve," 
",2014-02-13
938,938,igi,v,swallow," 
",2009-12-20
939,939,igo,"adv; post",near,"+ APUD.ESS or AD.ESS or IN.ESS",2013-08-21
940,940,"igo-taħo",adv,nearby,"Not in the Dictionary! (not clear which part of speech this is; Arsen: ""blizko"")
",2014-06-25
941,941,"igo-taħoza",adv,in.the.vicinity,"Not in the Dictionary! (Arsen: ""poblizosti""); might require a locative noun or adverb before it
",2014-06-25
942,942,igox,v,approach,"Not in the Dictionary!  ""priblizhat'sja""",2014-05-20
943,943,igu,adj,"rich; good; pretty","""rigu raq'`u esi-"" = to beg; ""X-LAT V-PFV.CVB rigu"" = X would rather V
",2014-06-25
944,944,"igu-aq’ˤu",adv,muchly,"Not in the Dictionary!",2012-08-27
945,945,"ig-žuk",adj,satisfactory,"Dict.: ""bigu-zhuka""",2013-07-20
946,946,"iħad",v,fight,"Dict.: ""bihhanada""",2012-08-28
947,947,"iħanad",v,fight,"Maybe the person fought with is marked with SUPER.ESS (see Uneyzat.072)? Yes!
",2014-06-25
948,948,"iħi",v,smear," 
",2010-06-11
949,949,"iħu",n3,river," 
",2013-08-04
950,950,"iħu",v,"come.to; begin; sit.down"," 
",2012-08-06
951,951,"iħu-iči",v,"come; go.back","Not in the Dictionary! Compound composed of ""ihhu"" ('come.to') and ""ichi"" ('stand')... translation is a guess.
",2014-06-25
952,952,"iħu-oq",v,retain,"Not in the Dictionary! (Arsen / translation: ""uderzhat'"")",2014-06-25
953,953,"iħur",v,"pour; begin","Dict. doesn't have translation ""begin"", but Arsen's glossing says ""nachinat'"" (?)
",2014-06-25
954,954,"ik’i",v,go," 
",2014-02-13
955,955,"ik’i-ik’i",v,walk,"Not in the Dictionary!",2013-08-01
956,956,"ik’i-nex",v,walk.about," 
",2014-02-16
957,957,"ik’u",v,burn,intransitive,2014-01-24
958,958,illa,excl,except[Arab.],"""la hhawla wala q'uwata illa billahi"" = 'there is no change and no power except by Allah'
",2014-06-25
